checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,cluster
<0,48,no credits/all paid,furniture/equipment,7119,<100,1<=X<4,3,female div/dep/mar,none,4,no known property,58.765588015237924,none,for free,2,unemp/unskilled non res,2,none,yes,bad,29
<0,12,existing paid,education,795,<100,<1,4,female div/dep/mar,none,4,life insurance,58.765588015237924,none,own,1,unemp/unskilled non res,1,none,yes,bad,29
<0,24,existing paid,radio/tv,1603,<100,>=7,4,female div/dep/mar,none,4,car,58.765588015237924,none,own,1,unemp/unskilled non res,1,none,yes,good,29
<0,12,existing paid,furniture/equipment,2578,<100,unemployed,3,female div/dep/mar,none,4,no known property,58.765588015237924,none,for free,1,unemp/unskilled non res,1,none,yes,good,29
<0,18,critical/other existing credit,repairs,1190,<100,unemployed,2,female div/dep/mar,none,4,no known property,58.765588015237924,none,for free,3,unemp/unskilled non res,2,none,yes,bad,29
>=200,12,existing paid,furniture/equipment,1424,no known savings,>=7,3,female div/dep/mar,none,4,real estate,58.765588015237924,none,own,1,unemp/unskilled non res,1,yes,yes,good,29
0<=X<200,42,all paid,used car,9283,<100,unemployed,1,female div/dep/mar,none,2,no known property,58.765588015237924,bank,for free,1,unemp/unskilled non res,1,yes,yes,good,29
no checking,6,existing paid,new car,672,<100,unemployed,1,female div/dep/mar,none,4,real estate,58.765588015237924,none,own,1,unemp/unskilled non res,1,yes,yes,good,29
0<=X<200,36,delayed previously,new car,7432,<100,1<=X<4,2,female div/dep/mar,none,2,life insurance,58.765588015237924,none,rent,1,unemp/unskilled non res,1,none,yes,good,29
no checking,9,existing paid,new car,2507,500<=X<1000,>=7,2,female div/dep/mar,none,4,no known property,58.765588015237924,none,for free,1,unemp/unskilled non res,1,none,yes,good,29
no checking,6,critical/other existing credit,new car,362,100<=X<500,1<=X<4,4,female div/dep/mar,none,4,car,58.765588015237924,none,own,2,unemp/unskilled non res,1,none,yes,good,29
>=200,6,critical/other existing credit,education,1047,<100,1<=X<4,2,female div/dep/mar,none,4,life insurance,58.765588015237924,none,own,1,unemp/unskilled non res,1,none,yes,good,29
>=200,24,existing paid,furniture/equipment,2892,<100,>=7,3,female div/dep/mar,none,4,no known property,58.765588015237924,none,for free,1,unemp/unskilled non res,1,none,yes,good,29
<0,48,critical/other existing credit,used car,6143,<100,>=7,4,female div/dep/mar,none,4,no known property,58.765588015237924,stores,for free,2,unemp/unskilled non res,1,none,yes,bad,29
<0,24,existing paid,other,1755,<100,>=7,4,female div/dep/mar,guarantor,4,real estate,58.765588015237924,none,own,1,unemp/unskilled non res,1,yes,yes,good,29
0<=X<200,54,no credits/all paid,business,15945,<100,<1,3,female div/dep/mar,none,4,no known property,58.765588015237924,none,rent,1,unemp/unskilled non res,1,yes,yes,bad,29
<0,12,critical/other existing credit,radio/tv,385,<100,4<=X<7,4,female div/dep/mar,none,3,real estate,58.765588015237924,none,own,4,unemp/unskilled non res,1,yes,yes,good,29
0<=X<200,48,all paid,business,6416,<100,>=7,4,female div/dep/mar,none,3,no known property,58.765588015237924,none,rent,1,unemp/unskilled non res,1,none,yes,bad,29
no checking,15,critical/other existing credit,new car,5045,no known savings,>=7,1,female div/dep/mar,none,4,car,58.765588015237924,none,own,1,unemp/unskilled non res,1,yes,yes,good,29
no checking,30,existing paid,radio/tv,1867,no known savings,>=7,4,female div/dep/mar,none,4,car,58.765588015237924,none,own,1,unemp/unskilled non res,1,yes,yes,good,29
